val_original/ILSVRC2012_val_00015059.JPEG 116,444,307,13
train/n01601694/n01601694_11316.JPEG 37,49,331,294,8
train/n01601694/n01601694_7306.JPEG 24,83,378,206,8
train/n02130308/n02130308_21393.JPEG 172,24,346,232,65
train/n02130308/n02130308_937.JPEG 102,30,185,197,65 221,43,377,132,65
train/n01873310/n01873310_6411.JPEG 175,94,332,208,36
train/n01873310/n01873310_97.JPEG 8,12,106,84,36
train/n01753488/n01753488_10834.JPEG 3,1,498,331,24
train/n01883070/n01883070_9371.JPEG 9,102,138,222,38
train/n02443484/n02443484_1838.JPEG 25,33,301,218,82
train/n02443484/n02443484_5801.JPEG 1,63,300,331,82
train/n02408429/n02408429_1142.JPEG 60,41,370,299,75
train/n01592084/n01592084_4216.JPEG 159,151,289,325,7
train/n01592084/n01592084_5465.JPEG 233,87,477,228,7
train/n02483362/n02483362_7540.JPEG 12,26,495,488,87
train/n02085782/n02085782_4294.JPEG 51,26,344,304,48
train/n01644373/n01644373_1638.JPEG 27,24,278,177,11
train/n01644373/n01644373_7133.JPEG 162,69,328,234,11
train/n02492035/n02492035_1266.JPEG 14,10,87,88,92
val_original/ILSVRC2012_val_00016946.JPEG 6,26,339,374,92 277,74,499,374,92
train/n02066245/n02066245_10651.JPEG 230,29,443,121,47
train/n01695060/n01695060_18311.JPEG 16,118,499,298,17
train/n01695060/n01695060_14470.JPEG 1,118,324,326,17
train/n02123159/n02123159_7302.JPEG 1,1,315,332,58
train/n02051845/n02051845_5411.JPEG 141,17,368,248,46
train/n01740131/n01740131_4976.JPEG 17,26,407,237,23
train/n01694178/n01694178_341.JPEG 90,70,498,372,16
train/n01558993/n01558993_7367.JPEG 57,91,468,372,4
train/n01558993/n01558993_10530.JPEG 105,68,339,310,4
train/n02397096/n02397096_3943.JPEG 176,119,408,242,73
train/n01537544/n01537544_1473.JPEG 129,104,297,193,3
val_original/ILSVRC2012_val_00014539.JPEG 0,0,329,498,76
train/n02120505/n02120505_10325.JPEG 4,18,232,365,57
train/n02120505/n02120505_450.JPEG 206,149,291,256,57
train/n02027492/n02027492_6859.JPEG 159,165,379,291,44 284,152,469,222,44
train/n02027492/n02027492_4237.JPEG 25,202,317,317,44 253,20,460,138,44
train/n02488291/n02488291_849.JPEG 1,1,38,59,88
train/n01440764/n01440764_6399.JPEG 1,96,483,242,0
train/n02129165/n02129165_19310.JPEG 1,1,130,126,63
train/n02526121/n02526121_39.JPEG 37,63,299,392,97
train/n02006656/n02006656_10857.JPEG 138,86,293,264,39
train/n02437616/n02437616_13519.JPEG 1,12,464,494,79
train/n02128757/n02128757_10830.JPEG 44,57,499,281,61
train/n01843065/n01843065_373.JPEG 78,85,387,363,31
train/n01797886/n01797886_16276.JPEG 310,189,431,345,26 115,121,185,163,26
train/n02111129/n02111129_2347.JPEG 175,263,379,646,51
train/n01582220/n01582220_6601.JPEG 1,36,404,332,6
train/n01582220/n01582220_3748.JPEG 71,63,210,481,6
train/n01756291/n01756291_18184.JPEG 44,1,420,306,25
train/n02643566/n02643566_695.JPEG 93,48,372,295,99
train/n01735189/n01735189_18333.JPEG 23,46,416,302,22
train/n01871265/n01871265_6928.JPEG 216,164,274,251,35
train/n02443114/n02443114_7025.JPEG 41,117,332,498,81
train/n02457408/n02457408_1478.JPEG 1,27,239,225,84
train/n02457408/n02457408_11012.JPEG 142,73,700,461,84
train/n02480495/n02480495_15839.JPEG 127,36,431,340,85
train/n02480495/n02480495_8925.JPEG 83,1,499,374,85
train/n02129604/n02129604_1194.JPEG 14,32,147,162,64
train/n02129604/n02129604_11099.JPEG 115,1,350,356,64
train/n02494079/n02494079_1779.JPEG 1,1,131,102,93
train/n02397096/n02397096_144.JPEG 60,1,499,374,73
train/n02397096/n02397096_22404.JPEG 1,26,252,208,73 2,14,269,228,73 231,52,492,200,73
train/n02129165/n02129165_1693.JPEG 1,1,353,498,63
train/n02129165/n02129165_452.JPEG 44,6,331,256,63
train/n02129165/n02129165_14240.JPEG 1,55,355,226,63
train/n02129165/n02129165_10937.JPEG 1,1,498,332,63
train/n01753488/n01753488_14328.JPEG 140,39,414,221,24
train/n01753488/n01753488_918.JPEG 190,38,302,256,24
train/n01665541/n01665541_790.JPEG 102,69,333,177,13
train/n01665541/n01665541_14769.JPEG 1,74,426,305,13
train/n02526121/n02526121_7864.JPEG 220,97,371,246,97
val_original/ILSVRC2012_val_00041211.JPEG 0,17,428,160,97
train/n02526121/n02526121_167.JPEG 101,72,265,433,97
train/n02111129/n02111129_2359.JPEG 13,3,387,309,51
val_original/ILSVRC2012_val_00004026.JPEG 37,20,337,477,51
train/n02111129/n02111129_5250.JPEG 85,90,276,426,51
train/n02437616/n02437616_16163.JPEG 47,72,206,470,79 201,60,343,498,79
train/n02437616/n02437616_1864.JPEG 58,60,86,101,79
train/n02437616/n02437616_9232.JPEG 1,32,320,475,79
train/n02066245/n02066245_9057.JPEG 149,59,376,111,47
train/n02066245/n02066245_903.JPEG 1,124,355,187,47
train/n02066245/n02066245_10415.JPEG 174,226,935,672,47
train/n02066245/n02066245_672.JPEG 88,119,247,196,47
train/n01582220/n01582220_4014.JPEG 171,97,499,281,6
train/n01582220/n01582220_5626.JPEG 1,13,494,338,6
val_original/ILSVRC2012_val_00011501.JPEG 5,228,307,411,6
